INV00226786	4	40203407	40203507	40205526	40205626
INV00227361	4	42975979	42976079	42982875	42982975
Sniffles2.INV.2270M3	4	43341697	43341797	43342989	43343089
INV00227555	4	43704154	43704254	43719368	43719468
INV00227798	4	44947098	44947198	44956260	44956360
INV00231658	4	61525428	61525528	61530106	61530206
INV00233639	4	67025319	67025419	67027008	67027108
Sniffles2.INV.408DM3	4	82273153	82273253	82274305	82274405
INV00000413	4	104292192	104292292	104292639	104292739
INV00000637	4	149009565	149009665	149010701	149010801
INV00254395	4	160249931	160250031	160258467	160258567
INV00258259	4	172682917	172683017	172692874	172692974
INV00258709	4	174849066	174849166	174852290	174852390
INV00259226	4	177089067	177089167	177089729	177089829
INV00280304	5	3909435	3909535	3944704	3944804
INV00285163	5	18086492	18086592	18088140	18088240
INV00285366	5	18549867	18549967	18550502	18550602
INV00287243	5	26547639	26547739	26568938	26569038
INV00287563	5	27749304	27749404	27757642	27757742
INV00288867	5	33000374	33000474	33001591	33001691
INV00291367	5	44907286	44907386	44930613	44930713
Sniffles2.INV.306DM4	5	55196552	55196652	55197222	55197322
INV00306322	5	111417927	111418027	111433068	111433168
INV00000946	5	151475925	151476025	151476410	151476510
INV00318788	5	168803205	168803305	168806649	168806749
INV00319682	5	172188470	172188570	172189836	172189936
INV00330755	6	5636553	5636653	5636903	5637003
INV00332364	6	10517138	10517238	10517792	10517892
INV00335367	6	22823670	22823770	22824368	22824468
INV00335852	6	23915348	23915448	23916073	23916173
INV00000566	6	40938718	40938818	40939122	40939222
INV00001094	6	50467312	50467412	50473955	50474055
INV00345029	6	62806293	62806393	62821354	62821454
INV00345441	6	64569391	64569491	64570419	64570519
INV00345753	6	66333557	66333657	66333889	66333989
INV00350711	6	88111868	88111968	88112846	88112946
INV00351716	6	92652696	92652796	92677326	92677426
INV00352744	6	97295258	97295358	97300415	97300515
INV00354323	6	104526834	104526934	104530684	104530784
INV00356023	6	112823955	112824055	112824863	112824963
INV00357430	6	120405326	120405426	120407297	120407397
INV00357433	6	120431445	120431545	120431883	120431983
INV00358110	6	124294188	124294288	124298071	124298171
INV00359609	6	131721733	131721833	131725943	131726043
INV00001189	6	169734918	169735018	169735363	169735463
INV00379863	6	171974360	171974460	171976417	171976517
INV00389109	7	3299700	3299800	3301110	3301210
INV00391733	7	8432036	8432136	8434581	8434681
INV00394923	7	19218486	19218586	19234682	19234782
INV00395869	7	23422994	23423094	23428398	23428498
INV00400073	7	40346982	40347082	40372530	40372630
INV00400169	7	40997466	40997566	40998662	40998762
INV00400433	7	42891282	42891382	42897540	42897640
INV00401721	7	47776331	47776431	47777601	47777701
INV00402027	7	49047098	49047198	49055178	49055278
INV00001014	7	56949441	56949541	56949816	56949916
INV00001226	7	81489333	81489433	81489912	81490012
INV00417118	7	101164589	101164689	101175527	101175627
INV00001596	7	137130993	137131093	137144924	137145024
INV00460038	8	18635251	18635351	18644929	18645029
INV00460771	8	21185462	21185562	21187284	21187384
INV00462562	8	27149412	27149512	27175964	27176064
INV00465931	8	41724266	41724366	41748595	41748695
INV00469071	8	57427881	57427981	57447430	57447530
INV00472779	8	74604828	74604928	74612405	74612505
INV00473542	8	77360127	77360227	77366683	77366783
INV00478874	8	104008515	104008615	104009373	104009473
INV00484472	8	128466921	128467021	128467344	128467444
INV00498432	9	6724912	6725012	6729830	6729930
INV00001405	9	6791972	6792072	6792786	6792886
INV00499844	9	13743712	13743812	13765361	13765461
INV00514621	9	104125315	104125415	104126123	104126223
INV00517682	9	119392035	119392135	119393072	119393172
INV00518739	9	123258481	123258581	123258923	123259023
INV00521098	9	134084920	134085020	134085242	134085342
Sniffles2.INV.536CM8	9	141628423	141628523	141629019	141629119
INV00528484	9	148150210	148150310	148151579	148151679
INV00538376	10	2170274	2170374	2196774	2196874
INV00544569	10	13077193	13077293	13077583	13077683
INV00545129	10	15760675	15760775	15778434	15778534
INV00547678	10	25804298	25804398	25804689	25804789
INV00557822	10	55857474	55857574	55863583	55863683
INV00562443	10	76973565	76973665	76975038	76975138
INV00001516	10	102089228	102089328	102089981	102090081
INV00569995	10	114303080	114303180	114303507	114303607
INV00572764	10	124598694	124598794	124611947	124612047
INV00600223	11	39442468	39442568	39443149	39443249
INV00617455	11	111860064	111860164	111860787	111860887
INV00618022	11	114871671	114871771	114873174	114873274
INV00619809	11	121752021	121752121	121757670	121757770
INV00633194	12	17945398	17945498	17957422	17957522
INV00634653	12	24012819	24012919	24013477	24013577
INV00002157	12	39416036	39416136	39416381	39416481
INV00639756	12	46855812	46855912	46875215	46875315
INV00641130	12	51567726	51567826	51568722	51568822
INV00642651	12	59347143	59347243	59351547	59351647
INV00645076	12	69605526	69605626	69608421	69608521
INV00645516	12	71523683	71523783	71525617	71525717
INV00650674	12	90681581	90681681	90690015	90690115
INV00659627	12	123540905	123541005	123543261	123543361
INV00003486	12	123966895	123966995	123967370	123967470
INV00674866	13	24439924	24440024	24440885	24440985
INV00679068	13	41896431	41896531	41914478	41914578
INV00680187	13	47419464	47419564	47426945	47427045
INV00680818	13	49051126	49051226	49052852	49052952
INV00684043	13	63820033	63820133	63838852	63838952
INV00687460	13	80429366	80429466	80434386	80434486
INV00688417	13	84200502	84200602	84209600	84209700
INV00689561	13	88006287	88006387	88008844	88008944
INV00713785	14	38412705	38412805	38413219	38413319
INV00718246	14	59580485	59580585	59581184	59581284
INV00719933	14	68006986	68007086	68011279	68011379
INV00723035	14	80084103	80084203	80103202	80103302
INV00001091	14	85277095	85277195	85277666	85277766
INV00726936	14	92356982	92357082	92375465	92375565
INV00742978	15	39399372	39399472	39400503	39400603
Sniffles2.INV.3A82ME	15	91504413	91504513	91505459	91505559
INV00769211	16	8397406	8397506	8398196	8398296
INV00780233	16	54414472	54414572	54415104	54415204
INV00780550	16	55710105	55710205	55718419	55718519
INV00787362	16	81251342	81251442	81270408	81270508
INV00002264	16	91221119	91221219	91222280	91222380
INV00800764	17	64142	64242	65471	65571
INV00818173	17	38405141	38405241	38405838	38405938
INV00819402	17	42486687	42486787	42501111	42501211
INV00819607	17	43248318	43248418	43249250	43249350
INV00821415	17	48135100	48135200	48150085	48150185
INV00822812	17	54852345	54852445	54881237	54881337
INV00824062	17	60905683	60905783	60918227	60918327
INV00828835	17	77078093	77078193	77079758	77079858
INV00830355	17	79745313	79745413	79746580	79746680
INV00847422	18	35687308	35687408	35688249	35688349
INV00847849	18	38928605	38928705	38940263	38940363
Sniffles2.INV.2591M11	18	50251681	50251781	50252419	50252519
INV00856022	18	67331176	67331276	67335475	67335575
INV00858556	18	75764150	75764250	75776887	75776987
INV00002094	19	5753914	5754014	5754491	5754591
INV00878331	19	5831832	5831932	5847147	5847247
INV00882432	19	14454542	14454642	14455674	14455774
INV00886996	19	30554247	30554347	30561868	30561968
INV00889852	19	38748831	38748931	38751715	38751815
INV00906182	20	4222439	4222539	4223195	4223295
INV00907245	20	8110508	8110608	8129457	8129557
INV00909297	20	17141680	17141780	17156417	17156517
INV00924071	20	61517079	61517179	61517831	61517931
INV00936861	21	9462328	9462428	9486645	9486745
INV00939104	21	12625328	12625428	12633125	12633225
INV00941372	21	21028618	21028718	21060512	21060612
INV00004477	21	24359880	24359980	24360520	24360620
INV00003363	21	25006279	25006379	25007423	25007523
INV00943224	21	28741922	28742022	28765698	28765798
INV00949890	21	42708993	42709093	42710200	42710300
INV00992258	X	5771206	5771306	5772651	5772751
Sniffles2.INV.FEFM16	X	6381249	6381349	6382656	6382756
INV00993891	X	11102493	11102593	11103599	11103699
INV00994351	X	14291872	14291972	14293752	14293852
INV00995255	X	19425230	19425330	19426052	19426152
INV01000016	X	44000518	44000618	44012043	44012143
INV01000185	X	44328806	44328906	44347679	44347779
Sniffles2.INV.3D3AM16	X	46215619	46215719	46217295	46217395
INV01013720	X	118379121	118379221	118379817	118379917
INV00003706	X	133988861	133988961	133994502	133994602
INV00002775	X	148353205	148353305	148353740	148353840
INV01024037	Y	24035303	24035403	24037542	24037642
